sample_id,past_t_0,past_t_1,past_t_2,past_t_3,past_t_4,past_t_5,past_t_6,past_t_7,past_t_8,past_t_9,past_t_10,past_t_11,past_t_12,past_t_13,past_t_14,past_t_15,past_t_16,past_t_17,past_t_18,past_t_19,future_t_0,future_t_1,future_t_2,future_t_3,future_t_4,future_t_5,future_t_6,future_t_7,future_t_8,future_t_9
0,-0.3621077741099671,-0.05679204262456441,0.06067016049684361,0.1850828876218229,-0.003715918221365855,-0.09793348808925374,-0.24302394842028754,-0.41922845174628837,-0.6892590690244152,-0.3649565360043969,-0.3303536420061544,-0.44715570904433144,-0.18051229169670574,-0.055232285929264074,0.06487017457295752,-0.03248816874236152,0.08411460816973795,0.10252519356096099,0.1539324407211317,-0.20761766349094185,-0.3337829682876654,-0.4651216461424821,-0.43336963185103994,-0.08733444975270682,-0.031920479871407205,-0.017223676568675697,0.0381911792052671,0.21068818745914722,0.1178842489815284,0.09031249971960546
1,-0.6089519481922304,-0.19971193212556804,0.1011091280353209,0.004123984607702441,-0.11331704190348768,-0.13754857454995,-0.45830890393428414,-0.6482991692900827,-0.5058268071291521,-0.6614315150993987,-0.6870901046635369,-0.5164028143564063,-0.3778239363816085,-0.08841289548904933,0.07844726837118546,0.16088630887188743,0.1324665721622048,0.019297704226274803,-0.21686207061746166,-0.3989270930859419,-0.6635103857041557,-0.30387693419116,-0.4470577771948761,-0.3643157509743983,0.03164930502624544,-0.12295257565894852,0.2535466857594061,0.21941632676330888,-0.014835108700739036,0.025463339825621788
2,0.6711135225221423,0.6799509486278161,1.06897338660379,0.6568804624471826,0.6469692606249926,0.5501127914048336,0.2445135855343903,0.3217933972080287,0.18016451951582302,0.0344678101465882,0.0030989886589138926,0.0014143816177361879,0.20731790553080734,0.4966545949228578,0.49759552414752795,0.5036853894391512,0.5443090057923918,0.4887455129088759,0.2377662639688432,0.08316384279377897,0.13784661479923815,-0.09114994007709448,-0.13258529961129237,0.11611709600892327,0.11859936698942014,0.24425847613640395,0.5930120979483154,0.39141906732814896,-0.009851183538606423,0.32417253955255626
3,-0.7149756326792834,-0.5897965865630491,-0.40661857491086967,-0.5566013142221906,-0.45695388785922636,-0.30170242532024805,-0.5650764048338831,-0.8531031584581261,-0.8766845335161505,-0.8840277043292103,-0.7106994719418067,-0.6318981365265768,-0.4831628496228544,-0.24650162872496187,-0.06995551300979369,-0.08502863649400942,-0.1392743010680819,-0.21710025833884472,-0.2751203200988599,-0.4447653287702018,-0.42440052779976356,-0.7385158020530476,-0.6291796912824901,-0.27475807564972465,-0.34926287871538586,0.13978156641672954,0.2633908709473055,0.31175646051789285,-0.05976859425327685,-0.016802338310250207
4,-0.1877793746886821,-0.10359960974844427,-0.06360775083374866,-0.04506598490966942,0.03125054965368686,-0.2514406051515676,-0.21190518351845689,-0.49405740043528645,-0.4380222297364586,-0.5446450894979991,-0.5160388318856897,-0.4453530524448053,-0.23239047410387303,0.018490159467618533,0.18619771046422284,0.18332981034993004,0.2351388580662309,0.25071371895901173,-0.17817987178923653,-0.3092100739021104,-0.6076764973778614,-0.2468225529022305,-0.18421236698197402,-0.39356716587878016,-0.01531388735291657,0.2298658773898781,0.19606460107877868,0.3341881695471619,0.19764238922248867,-0.1166075774373491
5,0.3773726254932056,0.34365031664998263,0.45969014604858965,0.44854573101091977,0.5856360699908965,0.5135340480346747,0.2675999641601837,0.15822413783647554,-0.14284637320243512,-0.0916242607276494,-0.21245640085321127,-0.0518300352389154,0.2546635697201517,0.2847020166898539,0.5316692746332431,0.4973588329720519,0.6698110276780095,0.28927756579348823,-0.017074851578704406,-0.03591365955853905,-0.29245311859420015,-0.047069037673166614,-0.1523435932033168,-0.0743577280053221,0.07291984526189368,0.3481263822609833,0.27476683533153246,0.4953464222786055,0.4915896668474471,0.16996993595043552
6,-0.5900035825914196,-0.4695285615710902,-0.27529554446599347,-0.09264671115691178,-0.2582899113770166,-0.4456923045223369,-0.38394923975858386,-0.6106729640039492,-0.6156541798822686,-0.6148616036464982,-0.756633995562599,-0.39317173384047466,-0.27226025686864097,-0.25547026881127033,-0.03799755646188542,0.013479605290427063,-0.03481216094761701,-0.04533607148620947,-0.1250128102099179,-0.40491078953744986,-0.30334906924397603,-0.3830835370035416,-0.4449958125702232,-0.3328743595834723,-0.37197854913530015,-0.26449908592411686,0.10441357213896077,0.000249089336684688,0.09085802937361086,-0.08525377453137566
7,-0.46837067628242035,-0.24807661253122862,-0.21579533079045476,-0.10093301860125527,0.06631515245643402,-0.16962857998475928,-0.2613106250682768,-0.5779308552305393,-0.30707538079624186,-0.387873237873827,-0.38240262237628986,-0.3134333704567975,-0.23278296149013067,-0.028663073991574167,0.15260864121720719,0.03548147948327793,0.02353135058749918,-0.19938414829995266,-0.2507536087573909,-0.1489763361736315,-0.4669988545682919,-0.49707158349321506,-0.35425105572755017,-0.5270118727197747,0.013222174831161337,0.21764711791189856,0.20005347036184526,0.4370284451011051,-0.044493702088936576,0.3264152096939576
8,-0.3117938388181437,0.0631945160493507,-0.0027792121062790703,-0.04119009427209647,-0.10552582085596854,-0.08484903177479008,-0.41289228501801767,-0.4830079600564354,-0.29858965730317544,-0.3513453686741388,-0.4473628082578899,-0.36275954860898285,-0.1522368495125981,0.23442198314841103,0.15726146975993158,0.25490643892392983,0.11013057433976298,0.03297080520565914,-0.052398008389508505,-0.24879306454523967,-0.6503835494910175,-0.2087200790349536,-0.4479627338800035,0.07548895477407075,0.01626688581997801,0.07811682545528682,0.24720264388473157,0.20904995606231996,0.11580930588899568,0.1135706786685549
9,0.6275269054482813,0.7705622230643221,0.9791209023639007,1.0389288867932007,0.8607290584656281,0.7453097378935833,0.4480097427323796,0.42373451315165694,0.25771974856237634,0.06879161835412684,-0.02021988256670404,0.12589448010929077,0.3116228945050436,0.6262751309761693,0.757613620855111,0.5818633359888258,0.5289410183132215,0.47097202073485733,0.2816463265748915,0.2098482698544406,-0.08454076182685742,0.0837412282564711,-0.06609330380956596,0.1964966152681068,0.16709282564755942,0.2556526593865404,0.7346342408546636,0.6385951933941463,0.16109126536201934,0.24477897533259985
10,0.42210474510638796,0.544914873726805,0.502095272046735,0.5960943178275051,0.3332981771999124,0.5957581690308064,0.22470038041180526,0.1735247076459258,0.03286167185132657,0.055793327348087035,-0.09386249587156542,0.06945125379430983,0.24527119253356247,0.41737922195974547,0.546583314817506,0.4152457237050935,0.34841995512528556,0.43348506495295064,-0.06342605352478378,0.140443156590316,-0.17822427102001598,-0.17994298394908334,-0.2473062004387882,-0.047977949649381325,0.2945938547340039,0.3644841956455771,0.42774412203766204,0.402778409959038,0.12805118024950154,0.10431487085931518
11,-0.5458430565092068,-0.2774971122736405,-0.19303129570881775,-0.17037147521291657,0.03478257632633874,-0.23990488630549786,-0.4527246983549198,-0.35356074043936636,-0.5103249667901573,-0.47087737014643366,-0.6061960115185099,-0.3713117444610483,-0.4486725860779095,-0.06019060926876246,-0.030481263686133627,-0.09663395739546707,0.11467487042564224,-0.26729166423870765,-0.4160257434744853,-0.32754601071560974,-0.37747231151216315,-0.3478699272249365,-0.3325270741972895,-0.10354064765380935,-0.06146622416841027,-0.028227152863960023,0.09810811030583301,0.11435664792026594,0.1678083957149523,-0.14427428786263186
12,0.9673923114179471,1.0718651078926351,0.8649734218367348,1.0187887590055467,1.018411492336319,0.8763909061593138,0.72218122702344,0.542520987687749,0.5218017927098473,0.330507145907763,0.2789249874729367,0.2323216981746434,0.37892996742335733,0.6941828346341398,0.8325574705358223,0.8980807880499262,0.5993106124313676,0.5213104171842182,0.4063392422616949,0.41821024240667454,0.10316529122965484,0.2615710015022782,0.0785301439925194,0.32057113158170625,0.43705797041474437,0.44417867805132577,0.36288336086383255,0.5032772962520873,0.7149233248450624,0.5021296866216068
