sample_id,past_rnd_t0,past_firm_t0,past_tax_t0,past_rnd_t1,past_firm_t1,past_tax_t1,past_rnd_t2,past_firm_t2,past_tax_t2,past_rnd_t3,past_firm_t3,past_tax_t3,past_rnd_t4,past_firm_t4,past_tax_t4,past_rnd_t5,past_firm_t5,past_tax_t5,past_rnd_t6,past_firm_t6,past_tax_t6,past_rnd_t7,past_firm_t7,past_tax_t7,past_rnd_t8,past_firm_t8,past_tax_t8,past_rnd_t9,past_firm_t9,past_tax_t9,past_rnd_t10,past_firm_t10,past_tax_t10,past_rnd_t11,past_firm_t11,past_tax_t11,past_rnd_t12,past_firm_t12,past_tax_t12,past_rnd_t13,past_firm_t13,past_tax_t13,past_rnd_t14,past_firm_t14,past_tax_t14,past_rnd_t15,past_firm_t15,past_tax_t15,past_rnd_t16,past_firm_t16,past_tax_t16,past_rnd_t17,past_firm_t17,past_tax_t17,past_rnd_t18,past_firm_t18,past_tax_t18,past_rnd_t19,past_firm_t19,past_tax_t19,future_patents_t0,future_employment_t0,future_gdp_t0,future_patents_t1,future_employment_t1,future_gdp_t1,future_patents_t2,future_employment_t2,future_gdp_t2,future_patents_t3,future_employment_t3,future_gdp_t3,future_patents_t4,future_employment_t4,future_gdp_t4,future_patents_t5,future_employment_t5,future_gdp_t5,future_patents_t6,future_employment_t6,future_gdp_t6,future_patents_t7,future_employment_t7,future_gdp_t7,future_patents_t8,future_employment_t8,future_gdp_t8,future_patents_t9,future_employment_t9,future_gdp_t9
0,76.33521070426704,97.1771663949913,57.11460963184384,112.50653670281415,88.56094299756371,64.39103635187354,128.11312278426152,78.27928048965215,59.53981773768324,141.28617067516964,77.54272807616212,47.188859534559114,119.51392852202503,59.17337973517602,30.541614111742792,104.06581678413883,42.15751279907754,38.131501235600325,81.74021022719484,35.55458838496334,55.96514389911998,56.34968053608115,45.94794763009449,72.94637707941143,23.459823780276345,52.57591729433865,72.98588030250389,53.23070276633715,69.91898660922799,57.00239391431017,57.74976471672562,81.24570765984379,36.08193259920474,50.35174893739355,95.79921960035233,33.58406356992243,83.17355124297389,86.07846016182873,43.42348739355685,101.89344648472859,101.42036640916471,74.21776817656023,118.28927184518606,105.30781562291897,66.55349359422739,109.78481126634198,79.51232730204757,50.01010727872399,119.02796025301765,58.594214253509485,44.40322600803641,115.29471952504637,54.29607903286354,31.935680303098124,113.04889219511419,35.65432319944726,57.481179646224305,69.53283913234824,34.57563701297955,69.39925462782512,61.14180841380728,16.76036441013983,6.239600848218186,56.46963846054035,16.39943387971044,9.492076074538828,55.297696845282005,17.73745664226432,17.06458790878429,43.07200265646335,25.876660226390698,28.214716097306255,44.215003413553504,27.172150887692254,26.43262086407903,27.428955642377996,34.66268936104271,26.412980684851668,32.322554848005566,33.86772319877703,32.524098317387796,42.334046667550766,27.1826358709042,30.36759273063719,47.65763753863599,27.913976619584354,34.54317892474846,52.927289652948424,24.84184078560221,25.613166497881256
1,100.83036633070721,103.80702948646712,47.55991141517162,122.39614912482568,96.17990304553331,60.31486440264233,115.54801698215344,93.35048980366591,71.71729688095029,130.9364193937337,89.73595234769492,59.6773250975786,119.4201003454179,53.80997596412031,39.58346066928358,117.70451767332618,45.230049743460725,42.67975671471693,103.84436280870995,31.86882505449228,46.86114142327894,73.8196291102978,56.40280152913389,67.97260383593536,49.29364483380089,66.80107814086735,58.87820638106774,39.73376366763724,62.48548136914383,47.436303466195646,55.69306870269057,87.38052437241822,42.30858449409024,52.8549995871909,101.70488413069663,35.598976155782005,92.14167359574597,97.26645075510885,59.323279787274984,99.32598227729387,98.74752921546886,70.32519274351749,130.5599073270685,83.83806170426084,83.50396567573598,128.55809613925734,59.68781147866639,52.62958054406692,120.47178117768502,64.80068276531841,28.598111601855592,99.61776785161815,57.47782877233837,36.82936526837602,83.2108630142434,49.26516515500303,46.28889420675842,70.64495293928368,39.24100538453339,72.96051272624395,69.57321085003105,25.04020865063764,11.603206056890924,58.92265011233623,-10.838758514267582,7.5694631310238325,48.520422208100634,-1.6391194600821635,18.349062435069957,43.59647439867082,-4.687506307640078,28.091868134523335,40.291801563994696,30.40082558434319,28.574113363874975,36.25873407471449,44.09891365434626,32.97698538996898,41.904626961610404,32.59689137572836,34.96617625802991,47.79867286376439,35.499910895462335,30.701333200836338,47.003470292197605,35.85618735125014,31.967886187142465,47.879399120259095,24.67547306272588,20.569793282394183
2,151.31471425759707,134.9611868940192,97.27500577754762,191.48860377644183,146.81749256104325,105.66582556603677,197.59641159304067,136.9310541832576,125.89091880693549,216.05224984327927,107.02960771851522,76.04637808354049,204.84992255198893,108.13143738551821,61.514380632139634,176.29775950900353,67.57002163306537,65.95499444126058,163.91938387060347,69.61206484032039,89.44485608708568,113.74844821045394,80.05707727503916,109.35652144007432,70.32146772863612,106.60233326659403,111.84398505685424,82.31104020444401,105.5249759647985,84.80089927272252,104.15186924211288,148.25690941164254,58.88890266068785,120.02328370635581,155.09445817987427,67.52270378447926,131.07114180825235,153.03925640618817,89.90099779646577,177.9887111060781,158.70942148582373,108.93526098743396,222.26848715546467,140.54407695899067,118.49031781159742,212.32056754550095,112.21013815696371,89.60270200593523,214.03756994506077,95.63056363398533,67.30226391538692,190.577392369034,75.92864388185635,66.20286425389482,136.9955367520117,74.04055949590624,82.78493481514305,109.10337754022643,84.30819805291878,109.73163231781602,100.4929785855403,31.15384594601714,22.78061331525808,99.68785296969486,33.388841066487764,23.361885057965175,95.15725382957548,40.46100832034898,24.569787570517608,77.01207938664854,44.104189832084245,43.93000965427851,66.6409572492473,52.2310927048757,51.574181068044616,61.54203468370237,54.2422495478535,54.17552170178119,65.52265567241145,67.17026531234849,57.75409018504146,66.06197294921485,57.20074885131749,51.779747555993886,74.74872958274767,51.327904216924246,44.31721933543457,90.60409036893874,42.42457352394315,45.03723292775499
3,94.38849786948153,90.16270245517786,49.79184194254678,105.34661772160464,93.92260106044024,71.38253730333007,127.61099011503164,85.84675286096916,61.23971513294952,131.35651093637355,84.99901307562341,51.63795786129449,126.34682628241582,64.46997837452916,38.06080562387081,101.62872460190833,42.64461270986285,40.425664837951906,87.73215969495983,36.55621160539834,56.761924039955574,70.5952763767323,51.19519532721412,60.89758515821786,64.11548668576376,46.304722012875615,58.44075268483135,53.336237237037274,84.64131648873115,60.158295702813305,71.13587518292888,92.54822602052218,39.33291590547696,57.94181783539729,88.96604555179294,32.84811261426009,96.21026431957718,82.53068751488043,61.79914662455738,111.19224249784652,103.5504297619539,68.33948551500224,147.2680946291042,82.19638629273095,74.72122081362805,123.14760407500408,79.89217685768406,52.897345659882944,116.97284687511974,44.11116639868585,49.70351938289135,103.36489598602277,42.464841771531894,47.87107688825865,66.24810070927235,43.78547857393067,50.99844988054779,60.35774324747023,47.635686705279994,73.4748634149712,55.100721892445804,18.104511416889288,14.013114316676662,50.37002285273716,18.22027931601259,9.192607781901762,60.69672140004705,28.426181115262377,17.842601847930265,42.54811429621867,24.990492573854702,27.227862725569643,41.38968754459194,35.957361986289435,33.85870042540357,41.36600305773428,26.809058141099822,28.55353282010836,33.36489227868579,32.6504267461617,34.18165257418293,27.96593417693192,36.0536669871073,32.08268810217846,64.16740586435215,35.784023432504135,21.036502401222883,54.111965987448265,18.9066035963154,22.273603945077003
4,81.262687468037,91.76210654759754,42.87179515897839,98.84504035193387,86.06331803852251,68.12056689797312,142.58735124050662,83.73016851849778,69.39039222833374,140.40902203518792,63.53513211708151,47.21115003565091,125.63620847661483,59.18712520803918,41.27359710721413,124.45996177697809,46.98831702518549,27.472921980936118,88.50209938693845,41.95262378029985,52.24057099439345,57.18347021956408,40.1297126044458,60.565960019430094,64.97213850384014,52.4092999572538,63.921040571191895,49.253308592077715,76.22586285497586,52.92144181417585,39.36843618787899,87.3493329959342,32.279562162846155,63.892925452010594,85.15480223757262,35.13470908917092,78.97223377661467,97.2959163849423,58.674806641564,95.83252307843446,98.98634118293535,64.37070600086595,134.97771036509738,69.9867532459682,72.84620989039571,150.6867908703947,74.52961458740934,45.8588086583317,111.73025915158958,51.722480530233724,40.62086742204159,115.29021275498353,51.95501124952386,46.091454078497286,81.22199061924401,37.758134902891,37.80718278551361,60.92505839519977,32.95116509546243,63.05068568518196,71.84379138860548,19.945104621046397,4.916514746016116,57.962500857248685,15.849732391262387,11.948009262600516,55.870227451617325,26.520164646094425,16.158179265439927,43.964338361785394,20.18001924627129,23.450347263071226,41.520109399708005,27.282216983134813,31.89359426483698,38.58558886241081,33.094250124972866,38.760731778481166,39.099796752347565,36.75551697356363,27.86030773361256,37.22512699862682,41.108576711871784,31.997308632026854,50.05556761201175,30.43866611100272,27.911885001551983,61.148192930270945,25.612109166897955,26.965258396225178
5,66.78239686134916,93.47235858374069,49.356152428983094,120.67244230288176,98.38103805567455,69.56688208417795,127.73296662658821,66.80140234515379,76.48338046496953,126.29855231648335,79.89208203599846,57.50114978752171,123.98899632624585,53.706176389122845,34.48054318184391,94.45710871500617,42.26880449314078,29.45471987272287,109.02711914656021,34.18796467311463,66.18191842973432,64.71941133254624,32.44499967779398,65.74495449938436,49.04383658378519,61.55560424945007,65.47321964677514,49.54246591418289,68.24222321782078,50.59700908757515,52.75998095510339,70.02143218494392,37.28238388978002,65.66603975558525,79.26687573139803,35.227712853629235,76.66485479593881,90.3402816911101,47.29978756895375,110.42668275934989,102.97967811022211,62.1084902478551,140.00955502779797,78.26438857196352,65.19312427400146,140.30859948713768,55.63053585536875,47.48121098343262,137.12117632944162,53.00429506506724,31.816800629109924,100.59984242367807,43.502064494738775,36.73245669132427,74.67355114780615,20.709706531663397,49.21189630571003,62.169330311797516,45.24949412057763,74.41360182679355,69.44398778983734,13.099565732849408,9.506550149982598,64.23545796729378,18.6406455254579,10.316285358389932,41.506689925967244,27.151556884055157,12.772112254195196,51.88306742814914,21.913031945701988,29.408119008304876,42.505687584780794,31.063000265351274,32.50426648957907,23.07005400677501,26.811980254899126,38.41379072667713,39.24987615558341,33.56390654718737,33.27092042517121,43.71820170948971,36.646161021170066,26.018531779027747,25.289611428668493,26.728052150559776,23.320035182286855,43.98691462914509,26.821707244446046,23.19820143723906
6,79.1891852029137,77.56793994824335,50.58495120389499,86.75468803877081,71.03624220545734,56.34039422168886,114.75514842381244,65.56220999552139,63.509641311387604,98.82026293552694,70.21372049441223,52.173766288922515,120.9641772399242,42.60478511310344,36.692544078572986,101.26439063905156,62.77850971141014,23.540335985927065,79.79102999507565,42.56190953301556,41.97561653621292,67.74995932840783,43.198142182270004,58.23008306374544,60.44358888183183,43.333113982309264,59.268594302454204,48.759066976149754,67.38706515682145,50.06247217646621,25.380102123889607,68.76409340943786,34.027890310869324,45.127279821595636,82.82579756755091,24.94961815300919,70.9825468749801,105.43448222328094,48.61962669719791,96.79932631702945,81.08123985259081,63.37870934875742,115.84921107135895,82.56338262962547,63.07393756464072,108.58866084637069,56.15917472054245,52.82312394448991,112.54028851143853,49.92006829978331,37.96521723256325,88.98458649138789,55.885858277795094,35.716764780640425,71.11555462201743,33.59962986366631,45.917445322410245,43.85643852047048,56.21904165668643,49.74942927595851,52.02619374360544,19.282874207252483,9.673816672016422,49.92184857511039,21.332539940763837,11.932224918554528,54.735503656546,21.107320493850942,13.356135740804305,39.32917518359862,17.242711808224815,23.30742363261324,23.640281451016058,23.526468636864553,29.50023442172738,36.168849820886905,33.10473019885846,26.05322023595184,36.87436776293446,27.914503975678482,27.58194382545029,38.46707849647623,26.285594732930182,25.619677381705046,31.968920095477337,29.72230585088513,24.732867271876657,51.88941477366858,18.268884866597258,16.083644986794006
7,62.26995494136027,64.47365501175179,47.5863438661902,97.69494807910733,66.901809846402,60.091528734260635,112.57251735165232,64.9466191207138,61.36870913781176,97.25827638414341,69.27152387968266,45.07855505419313,90.0439191407115,40.477596647087175,28.294127783822823,90.51893833189585,38.87117539025456,30.177118384323883,63.12159577161573,34.190529938630704,48.42534952770541,57.81218783837421,46.588017964728046,48.17414116566318,40.94940776561014,64.8339464463655,55.28779504482401,19.1644719572404,50.6681107881778,38.82626285469111,54.395229570397746,61.296119363558404,29.469305203332844,69.44164639177428,81.10253718248993,36.96754744136773,62.51593930958158,80.9633407528785,42.33289013677469,81.92776716867198,87.52290877182563,53.3543744805235,101.22612877900282,69.88306038631191,44.91661834570709,106.31030722150844,52.040724245243915,45.66381712481863,104.95291759848209,49.343725684915036,33.16974135257041,105.9068281556953,45.95050042180664,42.27636460555671,66.87435393948496,40.885770556791634,39.339626318937256,43.49989721543458,41.13906402600174,54.39065715757021,54.96522886275801,17.407269291456362,14.572319906174881,44.8078973191204,11.769506703810347,12.504513138592369,50.36261398570098,16.73395949861725,12.020715746203656,37.75284318419328,13.52516171673014,24.495263429317824,26.291925232665044,29.695380654660106,24.46152845969908,35.258578111032755,21.25012407070411,27.177666413921493,37.30130018251007,30.572897912708054,25.4411743741184,32.301545950181485,28.440526878704535,32.97021425843604,34.34047404199563,34.213157080289804,19.66959210781954,40.750618684382424,18.399540264100313,16.509745501949567
8,125.294075731571,134.71854099093136,88.26932885722277,143.29948027019321,135.26750002979222,101.51539362027704,181.41880407440271,137.64960677532903,96.41942089781448,170.39507182928864,108.93147094111112,74.95023103390535,170.1028390320363,79.77190962315484,53.457079307795496,169.79903414109148,74.6738159799195,57.92415883537291,137.61391165022712,76.07279852454742,80.99055896644427,101.57150816563878,77.49022319237237,96.88572889586968,63.900191429252004,84.8183845007786,100.18180136593526,64.4008414704396,98.62923382933045,90.70716818990246,73.53392746963844,128.85390106944158,65.74442217756567,85.73328565586364,140.66418545625385,57.997105175005586,144.7898930813903,149.89304683031253,78.08156690724047,170.96851048540523,142.59767678633563,101.04811687981073,183.73222552859687,131.66453628308756,104.00903675588368,194.90272348552352,99.52284635849055,71.71679064704091,188.02569534636905,94.88049406649188,53.83490393242137,141.77753889540557,71.67395056660942,45.367658713695874,127.28413623851286,81.48004201286153,80.24888477386293,90.49709006781117,64.57965118435366,104.21110455771758,90.48367480051563,31.50611337575178,12.11742254248588,97.31042047801253,27.508310004859663,17.839664894634158,69.39234290063705,8.29296023698646,29.11162239839857,60.95265616288778,17.826312300389787,42.65802294348396,51.297655993988734,19.63782368057999,48.0004576884459,56.99916890128764,42.80851728645519,48.269917359563784,57.50684663421081,64.06447952379558,51.21690366385385,56.31359245551922,60.04139168042393,42.22443320130814,59.66079273328302,39.36102534072668,38.156179914811005,76.21523618278184,41.32100521260916,37.42265364231551
9,93.31995895651973,104.49479202660525,47.023229328083346,123.50878147158802,116.94203683870103,68.02217913961101,130.5636948638912,98.16263191983938,79.90603342195243,142.92277176782443,78.63688830628323,60.55164352905442,137.84475616217182,58.30157021754493,44.96816838067033,123.55022745364276,51.97705411110553,44.45175233124925,93.88410441529136,49.19047933555082,64.87048086725835,82.27359053993573,55.03089330346342,72.0561131063216,32.979286816208756,53.279652773001956,74.34751240878816,76.9874798858495,81.52318595021373,50.95989569823162,45.277137790352754,81.74216290056913,32.97123523734161,75.4488273547984,113.96378551949917,30.776926444431517,85.83522372628504,98.56886653184286,51.820960703007025,125.46756013052243,103.28780525865359,82.93988354899021,139.21702175190842,98.50004827315051,64.30815024915614,136.3227188690644,74.15688191495926,55.31072578354298,147.1822036800623,64.61773699122219,32.88049879608295,117.38526973941018,62.91851821762587,37.033526959939714,100.69206220891358,52.12517531731789,58.150104451118224,62.24332906929733,54.28147086150027,69.42381741682229,64.09617336504238,17.81949919009233,8.78689135135553,68.50179714500494,20.70897581889617,16.191840075444755,67.04353457221649,29.29599489130945,17.4879971592547,51.43819526208003,23.758790961129392,30.289073449512152,32.85993210693999,38.88985785338311,35.00001976254375,52.50992356321147,43.09044366360078,36.82128534629944,48.75145933511845,41.88079696858641,37.56335222660319,24.19925021111211,41.435938418773205,34.54220326517426,44.65548129110462,34.55248075946681,34.55987598938212,52.42399135682447,32.09998872028925,23.89200860145634
